restaurant_id,avg_price
170793,91
683479,49
684768,39
681409,23
95266,12
680317,10
684715,78
687670,37
682387,34
284654,19
127666,70
685708,40
218208,34
686834,29
5100,86
688315,23
688636,10
255841,30
291224,19
246428,25
631350,66
686913,55
258425,10
207319,26
683424,10
111826,10
657625,37
282496,41
34926,53
689746,30
158707,54
201132,47
685373,29
33866,38
87489,32
690109,38
690007,34
690003,46
687692,40
21650,10
130255,69
683254,35
50956,80
690684,58
238218,25
689349,33
624738,37
690697,51
296482,28
279200,30
4047,19
8733,59
689619,43
690303,10
663155,59
690079,84
690857,15
690076,25
690084,33
690424,10
37427,45
238857,36
45021,86
674988,38
691707,24
691508,41
692430,46
699404,44
684220,47
140458,10
293587,84
699730,27
696515,23
42654,41
696022,40
697004,54
696021,58
665568,57
9740,27
700989,43
694835,52
176368,36
180267,59
695300,30
695340,26
45273,51
699496,38
690540,78
644211,39
173962,22
695223,82
134230,20
685897,32
698239,32
699661,10
699502,35
699697,26
675769,27
696024,30
214879,46
699994,22
696048,10
699879,49
696066,40
700490,60
699146,34
46588,66
696067,10
635094,83
699753,25
689801,46
696465,27
696367,29
690530,24
700173,45
696490,56
698015,63
695280,44
696632,39
633,57
694862,36
33464,36
223007,51
672912,56
16028,73
690135,28
692234,42
47437,37
700511,45
701019,10
682526,10
681353,61
658402,10
696552,86
270735,28
701606,41
73646,42
692253,43
697617,57
701316,55
1813,89
678380,41
696640,40
701973,69
701722,41
121579,72
691033,43
658057,30
698367,69
696852,51
695381,14
703292,75
226686,25
33222,10
697884,39
703302,31
77315,41
700906,55
685430,47
685738,48
659332,50
671490,47
645194,46
212103,83
373,56
4121,56
700866,33
697078,31
672789,47
4086,45
665653,47
684357,47
703489,41
704785,58
698071,36
704867,12
704042,79
699987,38
697350,22
309849,42
702691,38
703942,30
703299,12
702899,71
704363,38
703947,22
286246,58
704558,58
704047,34
253751,36
702992,48
171336,20
703213,27
701630,31
664942,57
238436,26
703674,34
218102,18
7924,36
705252,25
705584,76
697938,36
690953,25
678973,30
706014,37
706017,37
152255,43
699548,73
706388,43
706010,37
165182,39
698396,42
705754,52
705641,77
86846,36
706162,49
705663,70
705628,69
705988,49
700451,35
706469,10
706518,38
272063,44
710932,56
712585,10
713679,87
713568,54
713985,28
714017,34
713782,26
707438,30
672904,10
708147,35
712590,10
713681,75
699716,20
713654,35
9200,10
9218,90
14086,15
41687,73
117233,10
222635,10
251641,10
666489,10
713708,29
713539,25
221357,69
272369,70
713862,59
714747,50
714581,15
713506,54
714638,27
714641,58
709014,44
714577,47
298904,22
715946,68
707881,17
668356,58
712891,42
714722,40
714604,44
714592,93
714938,38
714859,69
712322,36
714878,36
715285,15
710482,52
715598,32
87678,48
220174,35
188560,43
4008,52
8568,29
709801,30
170984,41
214241,45
251633,46
664632,46
709525,26
715855,24
715940,53
712331,36
710175,56
716330,79
714852,34
710548,89
715339,21
709727,35
715525,76
716164,20
716213,29
715906,28
716158,30
710185,38
207290,25
703535,36
694530,79
716761,10
710192,23
693775,60
716728,23
710601,77
710119,47
709040,69
49309,54
716339,38
713795,48
713834,64
714716,10
717416,36
32021,37
649889,47
188108,36
43105,53
659340,44
716582,49
46789,36
8441,20
715120,56
717590,53
718070,35
717283,36
717373,52
716905,26
718518,52
718520,52
714559,56
128247,32
714567,75
715106,22
4480,78
718256,11
717734,57
7164,53
68314,42
150392,21
239951,31
716552,61
719324,35
715416,40
719988,54
716556,35
83199,45
297675,43
718180,81
84053,24
718973,45
718977,40
715414,38
715417,25
717970,40
654634,28
719463,75
38664,75
719123,15
645116,69
718947,10
719788,50
716559,87
720802,30
181470,21
209152,64
635776,51
720695,34
692723,49
719181,45
702480,16
709203,42
709545,24
713466,25
710736,50
191432,27
721437,47
715822,10
173289,20
71636,31
686235,23
693334,20
277934,38
681293,29
706386,28
708769,10
715449,33
682805,36
690837,33
237598,20
713576,29
715458,21
715476,32
718077,28
4379,60
4658,60
8762,60
18290,61
32945,60
34785,60
35751,60
35753,60
35762,60
35763,60
35772,60
35779,60
35789,57
35795,61
35800,60
44809,59
49232,61
68084,61
97100,60
103718,59
107812,59
163592,60
236178,60
692429,58
717078,61
715631,49
721927,38
722287,31
252902,59
124081,33
722747,45
93031,62
4409,28
9225,52
9223,53
45182,51
4519,53
269752,54
20166,60
27935,60
35743,60
35780,60
35784,60
46932,61
91695,60
251668,61
717672,40
721849,79
722189,44
721920,15
710132,20
722045,10
47990,75
720505,47
97848,51
661028,53
650391,56
18095,52
316430,56
722990,54
207330,40
26819,25
709635,18
722115,50
112585,59
186974,52
704588,57
8770,26
202517,48
720899,38
722376,45
672492,28
155346,11
152670,39
722063,30
721439,39
722587,32
717282,19
670618,42
722841,38
722113,80
723416,44
717584,42
205219,42
158824,45
240053,92
722505,32
309721,62
8112,24
722500,42
723033,30
723039,61
722570,14
723613,18
723606,54
632158,65
723952,55
714892,20
255827,71
724187,23
723974,38
710814,37
712154,37
698025,29
721103,21
249934,86
723538,54
714729,35
724239,14
120504,65
723462,27
724161,33
723449,49
723637,95
709931,25
271006,39
723909,25
655383,31
725868,36
725713,41
725714,41
708597,28
96256,39
710328,11
725822,25
724622,24
254761,84
676716,94
693090,88
726366,34
725627,10
725213,34
725957,15
725962,39
725875,31
29697,29
707302,37
725018,14
725956,19
725694,47
123614,85
725703,43
725667,43
701859,35
725652,42
725748,51
315867,34
218112,77
727081,39
726778,18
9249,26
725801,46
671966,30
151316,58
725754,30
725769,83
725761,75
727127,30
695522,21
724197,33
260025,34
196250,84
213957,53
277926,39
647116,86
679920,89
681961,42
714241,36
253842,16
725799,19
727088,69
726690,55
726751,23
726434,10
5350,68
690193,57
725585,29
12732,30
731924,49
18202,22
728429,32
728800,43
665939,77
722585,81
727671,51
4286,57
731302,24
696909,29
731831,25
731838,14
115017,84
730320,74
98013,57
728508,82
728609,55
125050,16
78186,54
41342,62
709445,40
14,72
143115,47
707862,18
719613,28
735508,28
735014,72
735727,25
735940,10
735944,34
735823,34
17386,43
736453,60
730663,42
730379,26
735460,20
706953,69
680033,50
735793,10
45361,58
732946,53
718270,44
736879,52
730058,35
736509,27
732059,45
732018,40
729503,27
727950,49
2413,56
736953,26
737611,25
734402,34
678175,29
738140,40
44790,23
730917,42
2781,42
731414,52
732521,26
731132,38
737944,24
628783,15
727972,53
731069,22
734416,19
736388,32
736427,23
737110,28
731630,35
721402,53
737884,36
737605,37
736985,33
737106,36
737666,37
79860,23
730918,39
738427,37
738454,41
730845,53
694444,66
731413,34
738341,47
737610,83
738778,40
718188,52
731793,32
738014,40
738062,40
730375,58
729833,37
292713,49
739290,53
166629,22
739449,77
739563,35
736105,17
733474,25
670298,44
740139,47
740145,57
731637,32
732162,67
735757,43
735720,33
735712,51
735158,27
684120,33
734414,34
726160,45
643110,16
736966,39
738773,37
738779,31
738780,40
731791,10
738053,10
236980,49
733609,33
192206,49
733092,20
733096,25
731801,41
738321,13
737901,24
722601,68
739463,46
739452,74
208642,84
739635,20
734951,56
73439,51
734980,32
152892,45
735339,28
738826,22
729167,82
731820,18
740258,89
739951,38
732364,50
259081,26
656108,30
740524,34
733779,47
739934,15
740290,56
713200,61
729106,30
733631,27
733323,35
740440,49
256266,31
734793,20
147026,53
737787,33
736342,16
741064,19
70835,38
737546,36
